gp_id,GP_Name,GP_Asset_Class,GP_Sector,GP_Sub_Sector,total_invested,num_investments,num_portcos,num_funds
9843,STIC Investments Growth Equity,Private Equity,Growth Equity,Small Growth Equity,2483132,70,70,70
3331,VIG Partners,Private Equity,Buyout,Small Buyout,2291098.8,28,28,28
9650,Crescendo Equity Partners,Private Equity,Growth Equity,Medium Growth Equity,930846.56,23,23,23
13739,Glenwood Private Equity,Private Equity,Buyout,Small Buyout,889200,8,8,8
25811,Praxis Capital Partners,Private Equity,Growth Equity,Medium Growth Equity,725745.56,19,19,19
9842,STIC Investments M&A,Private Equity,Venture Capital,Late Stage,692278.56,58,58,58
2992,STIC Investments Secondaries,Private Equity,Other,Secondaries,662757.94,158,158,158
17671,UCK Partners (formerly Unison Capital Korea),Private Equity,Buyout,Middle Buyout,617676,14,14,14
659,Carlyle Japan,Private Equity,Buyout,Middle Buyout,446579.5,38,38,38
10512,Fortress Investment Group Real Estate - Asia,Real Estate,Opportunistic,Rest of World,270857.22,84,1,84
6437,Polaris Capital Group,Private Equity,Buyout,Middle Buyout,269698.94,43,43,43
10008,Advantage Partners MBI,Private Equity,Buyout,Middle Buyout,248274.97,63,63,63
1418,Golub Capital,Private Debt,Corporate,Direct Lending,220182.58,1898,443,1898
6885,Integral Corporation,Private Equity,Buyout,Middle Buyout,184100.39,32,32,32
14566,Corebridge Financial,Real Estate,Opportunistic,US / Global Large Market,143536.05,3981,1789,3981
736,Cerberus,Private Equity,Buyout,Middle Buyout,132624.22,1667,1316,1667
3352,Warburg Pincus,Private Equity,Buyout,Global Buyout,104787.91,1192,1191,1192
5271,MAS Equity Partners,Private Equity,Buyout,Small Buyout,104314.4,9,9,9
2346,Oaktree Capital Management (OCM) Opportunities Funds,Private Debt,Special Situations,Distressed / Corporates,100913.57,1721,1272,1721
3152,T Capital (formerly Tokio Marine Capital),Private Equity,Buyout,Small Buyout,93770.391,26,26,26
3806,Apax Partners Europe,Private Equity,Buyout,Global Buyout,93693.68,494,492,494
487,Blackstone Capital Partners,Private Equity,Buyout,Global Buyout,88000.438,304,303,304
221,"Apollo Global Management, LLC",Private Equity,Buyout,Global Buyout,86978.039,219,215,219
3920,Blackstone Credit and Insurance (BXCI),Private Debt,Special Situations,Distressed / Corporates,86675.328,349,349,349
15057,Global Infrastructure Partners India,Real Assets,Infrastructure,Diversified,85598.219,24,24,24
3490,KKR Private Equity,Private Equity,Buyout,Global Buyout,77643.711,265,248,265
3475,Blackstone Real Estate,Real Estate,Opportunistic,US / Global Large Market,76772.727,717,532,717
3493,TPG Capital,Private Equity,Buyout,Global Buyout,76089.273,278,278,278
10414,Corebridge (fka AIG Real Estate),Private Debt,Real Estate Credit,Private Performing,68877.945,1785,0,1785
1541,Hellman & Friedman,Private Equity,Buyout,Global Buyout,68624.25,125,125,125
3813,CVC Capital Partners,Private Equity,Buyout,Global Buyout,67886.531,269,269,269
662,Carlyle Partners,Private Equity,Buyout,Global Buyout,65479.547,190,189,190
79,Advent Global Private Equity,Private Equity,Buyout,Global Buyout,65282.262,356,356,356
4422,Japan Industrial Partners,Private Equity,Buyout,Middle Buyout,65282,15,15,15
2892,Silver Lake Partners,Private Equity,Buyout,Global Buyout,62789.586,153,152,153
3132,Thoma Bravo,Private Equity,Buyout,Global Buyout,62780.156,140,138,140
